ID,Category,Machine_Name,Key_Specs,Quantity,Technical_Doc_Link,Status
1,Laser CO2,Láser CO2 BAI-1390,Weihong / LinuxCNC - 130W,2,01_CO2_Lasers_Large/Ficha_Tecnica_Laser_1390.html,Premium Ready
2,CNC 3-Axis,CNC Madera BAI-1325,Mesa FPGA + LinuxCNC - 1300x2500mm,1,02_3-Axis_CNC_Large_ATC/Ficha_Tecnica_Madera_1325.html,Premium Ready
3,CNC 5-Axis,CNC 5 Ejes BAI-Industrial,1300x2500 o 2000x4000 - BTLx Support,1,03_5-Axis_CNC_Large_ATC/Ficha_Tecnica_CNC_5_Ejes_Full.html,Premium Ready
4,CNC Small,CNC Precisión BAI-S600,Mesa FPGA + LinuxCNC - High Precision,1,04_Small_CNC/Ficha_Tecnica_CNC_Small.html,Premium Ready
5,3D Printer P1S,BAI-3D P1S (Fleet 10x),Reliable Enclosed FDM,10,05_3D_Printers_Fleet/Ficha_Tecnica_BAI_P1S.html,Premium Ready
6,3D Printer A1,BAI-3D A1 (Fleet 5x),Fast Open FDM,5,05_3D_Printers_Fleet/Ficha_Tecnica_BAI_A1.html,Premium Ready
7,3D Printer H2D,BAI-3D H2D (Fleet 5x),Multifunction Hub (3D/Laser/Cut),5,05_3D_Printers_Fleet/Ficha_Tecnica_BAI_H2D.html,Premium Ready
8,3D Printer Ceramic,BAI-3D Cerámica 40100,Impresión LDM - 1m altura,1,05_3D_Printers_Fleet/Ficha_Tecnica_BAI_Ceramica.html,Premium Ready
9,Vinyl Plotter,Plotter de Vinilo BAI-120,120cm - Corte de Precisión,1,06_Vinyl_Plotter/Ficha_Tecnica_Plotter.html,Premium Ready
10,Thermoforming,Termoformadora BAI-B600,600x600mm (Efectivo 540x540),1,07_Thermoforming_Machine/Ficha_Tecnica_Termoformadora.html,Premium Ready
11,Tecnología,Guía de Integración BTLx,Estándar para Arquitectura en Madera,-,08_Core_Technology_Justification/Integracion_BTLx.html,Premium Ready
